EP_train_inference:0:  20%|| 310/1563 [27:31<1:47:36,  5.15s/it]
avg_loss: 4.039315700531006, avg_ce_loss: 2.1797313690185547, avg_contrast_loss: 1.8595842123031616
avg_loss: 4.029425621032715, avg_ce_loss: 2.1523892879486084, avg_contrast_loss: 1.8770360946655273
avg_loss: 3.964878797531128, avg_ce_loss: 2.120023727416992, avg_contrast_loss: 1.8448548316955566
avg_loss: 4.058657646179199, avg_ce_loss: 2.1697592735290527, avg_contrast_loss: 1.8888978958129883
avg_loss: 4.033880710601807, avg_ce_loss: 2.155392646789551, avg_contrast_loss: 1.878488302230835
avg_loss: 4.0905680656433105, avg_ce_loss: 2.1850786209106445, avg_contrast_loss: 1.9054896831512451
avg_loss: 4.100449562072754, avg_ce_loss: 2.1900579929351807, avg_contrast_loss: 1.9103912115097046
avg_loss: 4.011590480804443, avg_ce_loss: 2.1445016860961914, avg_contrast_loss: 1.8670891523361206
avg_loss: 4.040275573730469, avg_ce_loss: 2.1591835021972656, avg_contrast_loss: 1.8810920715332031
avg_loss: 4.037144660949707, avg_ce_loss: 2.158146858215332, avg_contrast_loss: 1.878997802734375
avg_loss: 4.022890090942383, avg_ce_loss: 2.1500868797302246, avg_contrast_loss: 1.8728034496307373
avg_loss: 3.973076820373535, avg_ce_loss: 2.1216483116149902, avg_contrast_loss: 1.851428747177124
avg_loss: 4.092419624328613, avg_ce_loss: 2.1794543266296387, avg_contrast_loss: 1.9129655361175537
avg_loss: 3.984281063079834, avg_ce_loss: 2.1309125423431396, avg_contrast_loss: 1.8533681631088257
avg_loss: 3.9779229164123535, avg_ce_loss: 2.1268320083618164, avg_contrast_loss: 1.851090669631958
avg_loss: 4.025120735168457, avg_ce_loss: 2.151965618133545, avg_contrast_loss: 1.873155117034912
avg_loss: 4.056052207946777, avg_ce_loss: 2.1685657501220703, avg_contrast_loss: 1.8874863386154175
avg_loss: 4.047089576721191, avg_ce_loss: 2.1637587547302246, avg_contrast_loss: 1.883330225944519
avg_loss: 4.043150901794434, avg_ce_loss: 2.1613717079162598, avg_contrast_loss: 1.8817790746688843
avg_loss: 4.1015119552612305, avg_ce_loss: 2.195415496826172, avg_contrast_loss: 1.9060959815979004
avg_loss: 3.961897850036621, avg_ce_loss: 2.118468761444092, avg_contrast_loss: 1.8434289693832397
avg_loss: 4.01149845123291, avg_ce_loss: 2.1446588039398193, avg_contrast_loss: 1.8668397665023804
avg_loss: 4.032680511474609, avg_ce_loss: 2.156276226043701, avg_contrast_loss: 1.8764046430587769
avg_loss: 4.024126052856445, avg_ce_loss: 2.1515939235687256, avg_contrast_loss: 1.8725323677062988
avg_loss: 4.064369201660156, avg_ce_loss: 2.172985792160034, avg_contrast_loss: 1.8913835287094116
avg_loss: 4.041604995727539, avg_ce_loss: 2.1610333919525146, avg_contrast_loss: 1.8805716037750244
avg_loss: 4.086032867431641, avg_ce_loss: 2.184674024581909, avg_contrast_loss: 1.9013586044311523
avg_loss: 4.032304286956787, avg_ce_loss: 2.1561033725738525, avg_contrast_loss: 1.8762010335922241
avg_loss: 4.0990447998046875, avg_ce_loss: 2.1919188499450684, avg_contrast_loss: 1.9071261882781982
avg_loss: 4.0407586097717285, avg_ce_loss: 2.160341739654541, avg_contrast_loss: 1.8804171085357666
avg_loss: 4.0103983879089355, avg_ce_loss: 2.1458146572113037, avg_contrast_loss: 1.8645837306976318
avg_loss: 3.979316234588623, avg_ce_loss: 2.1311709880828857, avg_contrast_loss: 1.8481453657150269
avg_loss: 4.115606784820557, avg_ce_loss: 2.176245927810669, avg_contrast_loss: 1.9393608570098877
avg_loss: 4.096362113952637, avg_ce_loss: 2.1921896934509277, avg_contrast_loss: 1.9041723012924194
avg_loss: 4.094822883605957, avg_ce_loss: 2.191187858581543, avg_contrast_loss: 1.9036353826522827
