EP_train_inference:0:  15%|| 310/2084 [18:55<1:46:04,  3.59s/it]
avg_loss: 4.220878601074219, avg_ce_loss: 2.244406223297119, avg_contrast_loss: 1.9764726161956787
avg_loss: 4.183349132537842, avg_ce_loss: 2.2233450412750244, avg_contrast_loss: 1.9600040912628174
avg_loss: 4.286943435668945, avg_ce_loss: 2.2787628173828125, avg_contrast_loss: 2.0081803798675537
avg_loss: 4.2214155197143555, avg_ce_loss: 2.2437877655029297, avg_contrast_loss: 1.9776276350021362
avg_loss: 4.260282516479492, avg_ce_loss: 2.2666263580322266, avg_contrast_loss: 1.9936565160751343
avg_loss: 4.184144020080566, avg_ce_loss: 2.2277798652648926, avg_contrast_loss: 1.9563641548156738
avg_loss: 4.2587666511535645, avg_ce_loss: 2.256816864013672, avg_contrast_loss: 2.0019497871398926
avg_loss: 4.136902809143066, avg_ce_loss: 2.2078232765197754, avg_contrast_loss: 1.929079532623291
avg_loss: 4.191985130310059, avg_ce_loss: 2.236907958984375, avg_contrast_loss: 1.955076813697815
avg_loss: 4.206056118011475, avg_ce_loss: 2.244685173034668, avg_contrast_loss: 1.9613707065582275
avg_loss: 4.2376909255981445, avg_ce_loss: 2.262139320373535, avg_contrast_loss: 1.9755514860153198
avg_loss: 4.194713592529297, avg_ce_loss: 2.2394299507141113, avg_contrast_loss: 1.955283761024475
avg_loss: 4.123412132263184, avg_ce_loss: 2.2017598152160645, avg_contrast_loss: 1.9216527938842773
avg_loss: 4.237958908081055, avg_ce_loss: 2.2622628211975098, avg_contrast_loss: 1.975696086883545
avg_loss: 4.206089019775391, avg_ce_loss: 2.2542450428009033, avg_contrast_loss: 1.951844334602356
avg_loss: 4.192126274108887, avg_ce_loss: 2.2387945652008057, avg_contrast_loss: 1.953331470489502
avg_loss: 4.1592206954956055, avg_ce_loss: 2.2215728759765625, avg_contrast_loss: 1.937648057937622
avg_loss: 4.193018436431885, avg_ce_loss: 2.2396700382232666, avg_contrast_loss: 1.9533483982086182
avg_loss: 4.235328197479248, avg_ce_loss: 2.2619495391845703, avg_contrast_loss: 1.9733787775039673
